lr,RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,validation_rate,batch_size,patience,max_epochs,alpha,beta,gpus,bidirectional,shuffle,exclude_cols
0.0001,14.06929207,951.3556519,DegFormer+xLSTM,64,20,deg_attention,slstm,gelu,1,64,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
0.0001,14.52939053,1019.4375,DegFormer+xLSTM,64,20,deg_attention,slstm,gelu,1,64,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
0.0001,13.92171574,950.4759521,DegFormer+xLSTM,64,20,deg_attention,slstm,gelu,1,64,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
0.0001,14.18150234,969.2966919,DegFormer+xLSTM,64,20,deg_attention,slstm,gelu,1,64,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
0.0001,14.18139076,969.2908325,DegFormer+xLSTM,64,20,deg_attention,slstm,gelu,1,64,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
0.0004,14.31190414,947.8151855,DegFormer+xLSTM,64,20,deg_attention,slstm,gelu,1,64,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
0.0004,14.11190224,937.8158569,DegFormer+xLSTM,64,20,deg_attention,slstm,gelu,1,64,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
0.0004,13.97192894,937.8182983,DegFormer+xLSTM,64,20,deg_attention,slstm,gelu,1,64,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
0.0004,14.11188984,917.6362305,DegFormer+xLSTM,64,20,deg_attention,slstm,gelu,1,64,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
0.0004,14.02183548,947.3291431,DegFormer+xLSTM,64,20,deg_attention,slstm,gelu,1,64,32,128,2,2,0.3,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,125,TRUE,TRUE,TRUE,0.25,128,50,200,0.5,0.5,1,FALSE,FALSE,"['s13', 's16', 's18', 's19']"
