lr,RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,validation_rate,batch_size,patience,max_epochs,bidirectional,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,gpus,shuffle,exclude_cols
0.0001,13.25041485,324.2897949,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.0001,12.46727085,298.9847717,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.0001,12.4702549,323.178833,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.0001,12.89854717,279.1271057,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.0001,13.46251583,296.4796143,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.0004,12.09422302,251.4225159,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.0004,11.89105701,238.7557373,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.0004,12.09422112,251.4224091,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.0004,11.89105797,238.7558289,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.0004,12.09422207,251.4224243,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
0.0007,11.60030842,216.0149689,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
