lr,RMSE,Score
0.0001,12.34012508,263.8656921
0.0003,12.30551052,277.741333
0.0005,12.10187435,234.2855225
0.0007,12.32217979,253.3424225
0.001,11.28244495,197.732254
0.003,11.81017876,244.3266144
0.005,11.95099545,238.1480103
0.007,11.69606781,241.2844238
0.01,12.2309618,278.3063354
,,
lr,RMSE,Score
0.0001,12.47721672,348.901886
0.0003,11.58046246,224.8075867
0.0005,11.43257618,207.3236694
0.0007,11.71569824,228.8153687
0.001,11.28252316,197.7368011
0.003,11.80878639,244.3112793
0.005,11.96873665,243.8866577
0.007,11.90920448,254.6681824
0.01,12.52553082,290.8429871
,,
lr,RMSE,Score
0.0001,12.47183132,274.3682251
0.0003,11.58046055,224.8075256
0.0005,11.43257046,207.324295
0.0007,11.71576977,228.8198242
0.001,11.28247261,197.7342987
0.003,11.8089323,244.305603
0.005,11.98186111,245.8486786
0.007,11.74170971,244.535553
0.01,12.87663269,326.6216431
