lr,RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,validation_rate,batch_size,patience,max_epochs,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,bidirectional,gpus,exclude_cols
0.0001,13.28079987,804.2938843,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0001,13.88546658,782.2112427,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0001,13.28079987,804.2938232,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0001,13.88546562,782.2109375,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0001,13.28079987,804.2938232,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0004,13.11797523,753.1044312,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0004,12.73105812,724.9740601,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0004,13.11797047,753.1075439,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0004,12.73105812,724.9741211,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0004,13.11797428,753.105957,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0007,12.60164452,731.3666992,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0007,12.80382156,696.6530762,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0007,12.60158539,731.3671875,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0007,12.80443001,696.7918091,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0007,12.60102654,731.3525391,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.001,12.65043259,670.4688721,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.001,12.60505104,713.6307373,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.001,12.64779663,670.7834473,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.001,12.60352707,713.5830688,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.001,12.64782715,670.7973633,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.004,12.5208149,760.6257935,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.004,13.06379986,728.3382568,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.004,12.57333755,765.1643066,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.004,13.16229153,748.1744995,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.004,12.63188457,774.3638306,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.007,13.3842392,820.8288574,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.007,13.17094994,733.2218018,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.007,13.24493694,830.3543701,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.007,12.69032097,846.6950684,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.007,13.17930794,804.3629761,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.01,12.63602352,670.4924316,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.01,12.71951771,737.4570923,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.01,12.83907032,755.9981079,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
