lr,RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,validation_rate,batch_size,patience,max_epochs,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,bidirectional,gpus,exclude_cols
0.0001,14.18619061,866.4924316,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0001,14.18618965,866.4923096,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0001,14.18618965,866.4923096,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0001,14.1861887,866.4923096,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0001,14.18618774,866.4921875,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0004,12.60900688,665.5164185,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0004,12.60138416,664.5564575,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0004,12.59678268,664.097229,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0004,12.60187626,664.6641846,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0004,12.612957,665.8126221,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0007,12.41792393,673.4888916,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0007,12.4181242,673.0971069,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0007,12.40995693,672.5536499,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0007,12.41838932,673.1094971,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.0007,12.4172945,673.0182495,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.001,12.31252575,636.8103027,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.001,12.31266022,636.8148804,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.001,12.31421566,636.9825439,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.001,12.31429386,636.9468384,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.001,12.31380939,636.927002,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.004,12.77319336,771.7160645,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.004,12.79291344,775.362915,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.004,12.7661171,772.3425293,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.004,12.78868866,772.2165527,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.004,12.7822876,771.3171387,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.007,12.66653633,708.6394043,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.007,13.16445446,809.8764648,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.007,12.88130093,741.6688232,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.007,13.00243664,777.5546875,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.007,13.0071125,780.3896484,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
0.01,13.07507992,707.74646,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
