sequence_len,RMSE,Score,Model_spec,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,lr,validation_rate,batch_size,patience,max_epochs,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,bidirectional,gpus,exclude_cols
20,15.54257679,1160.827881,risk_aware,20,deg_attention,slstm,gelu,1,24,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
20,15.54257584,1160.827881,risk_aware,20,deg_attention,slstm,gelu,1,24,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
20,15.54257679,1160.827881,risk_aware,20,deg_attention,slstm,gelu,1,24,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
20,14.957679,1090.263003,risk_aware,20,deg_attention,slstm,gelu,1,24,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
20,15.4257679,1120.237637,risk_aware,20,deg_attention,slstm,gelu,1,24,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
25,14.39103127,938.1092529,risk_aware,20,deg_attention,slstm,gelu,1,32,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
25,14.39118385,938.1448975,risk_aware,20,deg_attention,slstm,gelu,1,32,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
25,14.39105988,938.119812,risk_aware,20,deg_attention,slstm,gelu,1,32,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
25,14.39122009,938.1546631,risk_aware,20,deg_attention,slstm,gelu,1,32,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
25,14.39101982,938.1060181,risk_aware,20,deg_attention,slstm,gelu,1,32,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
30,13.97204113,947.8397217,risk_aware,20,deg_attention,slstm,gelu,1,32,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
30,13.97204399,947.8399658,risk_aware,20,deg_attention,slstm,gelu,1,32,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
30,13.97187901,947.8206177,risk_aware,20,deg_attention,slstm,gelu,1,32,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
