RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,lr,validation_rate,batch_size,patience,max_epochs,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,bidirectional,gpus,exclude_cols
15.48609734,1133.379883,risk_aware,20,20,deg_attention,slstm,gelu,1,16,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
14.31285667,956.7664795,risk_aware,25,20,deg_attention,slstm,gelu,1,24,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
13.76607418,879.9356689,risk_aware,30,20,deg_attention,slstm,gelu,1,24,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
14.34582138,1037.634644,risk_aware,35,20,deg_attention,slstm,gelu,1,32,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
12.31385231,636.9337769,risk_aware,40,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
12.01661587,666.7902832,risk_aware,45,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
12.23552132,664.3986816,risk_aware,50,20,deg_attention,slstm,gelu,1,48,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,lr,validation_rate,batch_size,patience,max_epochs,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,bidirectional,gpus,exclude_cols
15.54257679,1160.828003,risk_aware,20,20,deg_attention,slstm,gelu,1,24,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
14.39116287,938.0028076,risk_aware,25,20,deg_attention,slstm,gelu,1,32,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
13.97232437,947.8955078,risk_aware,30,20,deg_attention,slstm,gelu,1,32,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
12.69028187,720.2866211,risk_aware,35,20,deg_attention,slstm,gelu,1,40,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
13.04276848,795.4099121,risk_aware,40,20,deg_attention,slstm,gelu,1,48,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
12.44441032,686.3546143,risk_aware,45,20,deg_attention,slstm,gelu,1,48,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
13.10323524,777.1424561,risk_aware,50,20,deg_attention,slstm,gelu,1,56,16,64,1,1,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
