sequence_len,RMSE,Score,Model_spec,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,lr,validation_rate,batch_size,patience,max_epochs,bidirectional,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,gpus,shuffle,exclude_cols
20,15.20403957,524.3621826,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,24,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
20,14.54295254,726.8460083,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,24,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
20,14.05954838,611.2503662,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,24,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
20,14.5429554,726.8461914,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,24,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
20,14.05954838,611.2507324,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,24,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
25,13.30497265,504.0950928,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,32,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
25,13.0427618,421.5480347,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,32,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
25,13.30497456,504.0953979,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,32,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
25,13.04277897,421.5488892,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,32,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
25,13.30497265,504.0951843,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,32,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
30,12.9649086,350.4140015,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,32,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
30,12.7040062,333.1941528,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,32,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
30,12.96540356,350.4837646,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,32,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
30,12.70401001,333.1947327,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,32,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
30,12.96518707,350.4423218,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,32,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
35,12.4512434,340.3740234,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
35,12.9847765,408.2649841,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
35,12.45152664,340.4503174,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
35,12.98478413,408.2655029,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
