Exe_Time,RMSE,Score,Model_spec,sequence_len,feature_num,attention_model,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,lr,validation_rate,batch_size,patience,max_epochs,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,bidirectional,gpus,exclude_cols
29/07/2024 15:31:14,16.40392685,1239.230103,vTrans+LSTM,40,20,vTrans,lstm,gelu,1,32,16,64,2,2,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
29/07/2024 15:55:52,16.39886475,1238.650391,vTrans+LSTM,40,20,vTrans,lstm,gelu,1,32,16,64,2,2,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
29/07/2024 16:05:57,16.3190918,1204.922607,vTrans+LSTM,40,20,vTrans,lstm,gelu,1,32,16,64,2,2,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
29/07/2024 17:31:03,16.38437843,1236.819458,vTrans+LSTM,40,20,vTrans,lstm,gelu,1,32,16,64,2,2,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
29/07/2024 17:42:34,16.36209488,1231.963135,vTrans+LSTM,40,20,vTrans,lstm,gelu,1,32,16,64,2,2,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
,16.37367134,1230.317139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/07/2024 23:45:57,15.39956856,1140.815918,vTrans+SLSTM,40,20,vTrans,slstm,gelu,1,32,16,64,2,2,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
30/07/2024 09:16:23,15.20300198,1111.428589,vTrans+SLSTM,40,20,vTrans,slstm,gelu,1,32,16,64,2,2,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
30/07/2024 09:53:05,15.40282726,1157.84021,vTrans+SLSTM,40,20,vTrans,slstm,gelu,1,32,16,64,2,2,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
30/07/2024 10:47:42,15.16931438,1108.234741,vTrans+LSTM,40,20,vTrans,slstm,gelu,1,32,16,64,2,2,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
30/07/2024 11:14:34,15.39743805,1156.687988,vTrans+LSTM,40,20,vTrans,slstm,gelu,1,32,16,64,2,2,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
,15.31443005,1135.001489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/07/2024 14:21:04,13.57604122,827.7755127,DegFormer + LSTM,40,20,DegFormer,lstm,gelu,1,32,16,64,2,2,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
30/07/2024 15:09:44,13.57604122,827.7755127,DegFormer + LSTM,40,20,DegFormer,lstm,gelu,1,32,16,64,2,2,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
30/07/2024 15:54:20,13.57604122,827.7755127,DegFormer + LSTM,40,20,DegFormer,lstm,gelu,1,32,16,64,2,2,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
30/07/2024 16:22:54,13.57604122,827.7755127,DegFormer + LSTM,40,20,DegFormer,lstm,gelu,1,32,16,64,2,2,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
30/07/2024 23:22:21,13.57604122,827.7755127,DegFormer + LSTM,40,20,DegFormer,lstm,gelu,1,32,16,64,2,2,0.25,0.001,0.1,128,50,200,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,125,TRUE,TRUE,TRUE,FALSE,1,"['s13', 's16', 's18', 's19']"
,13.57604122,827.7755127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
