Exe_Time,RMSE,Score,Model_spec,sequence_len,feature_num,attention_model,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,lr,validation_rate,batch_size,patience,max_epochs,bidirectional,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,gpus,shuffle,exclude_cols
29/07/2024 17:44:42,13.57571411,464.8101501,vTrans + LSTM,40,16,vTrans,lstm,gelu,1,32,16,32,2,2,0.25,0.0007,0.1,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
29/07/2024 20:41:57,13.43540096,440.3200684,vTrans + LSTM,40,16,vTrans,lstm,gelu,1,32,16,32,2,2,0.25,0.0007,0.1,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
29/07/2024 21:01:26,13.61763573,451.2723999,vTrans + LSTM,40,16,vTrans,lstm,gelu,1,32,16,32,2,2,0.25,0.0007,0.1,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
29/07/2024 21:15:15,13.61249447,450.5686646,vTrans + LSTM,40,16,vTrans,lstm,gelu,1,32,16,32,2,2,0.25,0.0007,0.1,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
29/07/2024 21:32:07,13.64148045,271.4049683,vTrans + LSTM,40,16,vTrans,lstm,gelu,1,32,16,32,2,2,0.25,0.0007,0.1,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
,13.57654514,415.6752503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/07/2024 21:47:18,14.59931469,419.7723083,vTrans + SLSTM,40,16,vTrans,slstm,gelu,1,32,16,32,2,2,0.25,0.0007,0.1,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
30/07/2024 08:52:57,14.58115196,419.181488,vTrans + SLSTM,40,16,vTrans,slstm,gelu,1,32,16,32,2,2,0.25,0.0007,0.1,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
30/07/2024 09:09:44,14.58115196,419.181488,vTrans + SLSTM,40,16,vTrans,slstm,gelu,1,32,16,32,2,2,0.25,0.0007,0.1,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
30/07/2024 09:44:36,14.59931469,419.7723083,vTrans + SLSTM,40,16,vTrans,slstm,gelu,1,32,16,32,2,2,0.25,0.0007,0.1,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
