sequence_head_num,RMSE,Score,Model_spec,sequence_len,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,fc_dropout,lr,validation_rate,batch_size,patience,max_epochs,bidirectional,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,gpus,shuffle,exclude_cols
1,11.39,209.20,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,32,16,32,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
1,11.63,239.95,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,32,16,32,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
1,11.11,214.80,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,32,16,32,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
2,11.50,208.62,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,32,16,32,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
2,11.36,201.56,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,32,16,32,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
2,11.22,197.62,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,32,16,32,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
4,11.66,229.17,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,32,16,32,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
4,11.75,237.91,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,32,16,32,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
4,11.86,249.17,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,32,16,32,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
8,11.68,223.83,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,32,16,32,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD002,z-score,126,FALSE,FALSE,TRUE,2,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
8,11.91,254.22,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,32,16,32,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD003,z-score,127,FALSE,FALSE,TRUE,3,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
8,11.61,241.06,DegFormer+sLSTM,40,16,deg_attention,slstm,gelu,1,32,16,32,2,0.25,0.001,0.2,128,50,200,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD004,z-score,128,FALSE,FALSE,TRUE,4,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
